Resource; Field; Cardinality; Definition; Type; Binding; Short; Producer Obligation; Consumer Obligation
EHDSDosage; ; 0..*; The model covers usage instructions for administering a medicinal product, focusing on the most frequently used data elements. More complex dosage schemes may require additional elements, which should be communicated as part of the rendered dosage instructions element.; ;   ; Dosage model ; ; 
EHDSDosage; renderedDosageInstruction; 0..1; Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model.; string;   ; Full dosage information as human-readable text covering all dosage steps. Generating the text follows local rules and should include all locally implemented dosage data even when such elements are not present in this model. ; SHOULD:able-to-populate; 
EHDSDosage; dosageDetails; 0..*; Details of single dosage scheme step; Base;   ; Details of single dosage scheme step ; ; 
EHDSDosage; dosageDetails.sequence; 0..1; Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel.; integer;   ; Order of the dosage instruction, in case one treatment consists of several dosage steps. When two schemes share the same sequence number, they are meant to be running in parallel. ; ; 
EHDSDosage; dosageDetails.note; 0..1; Patient oriented instructions as free text for this dosage step; string;   ; Patient oriented instructions as free text for this dosage step ; SHOULD:able-to-populate; 
EHDSDosage; dosageDetails.doseAndRate; 0..*; Amount of medication administered per one dose (= one timing); Base;   ; Amount of medication administered per one dose (= one timing) ; ; 
EHDSDosage; dosageDetails.doseAndRate.dose[x]; 0..1; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml); Quantity; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml) ; SHALL:able-to-populate; 
EHDSDosage; dosageDetails.doseAndRate.dose[x]; 0..1; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml); Range; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per one dose. (1 tablet, 2-3 tablets, 20ml) ; SHALL:able-to-populate; 
EHDSDosage; dosageDetails.doseAndRate.rate[x]; 0..1; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).; Quantity; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min). ; ; 
EHDSDosage; dosageDetails.doseAndRate.rate[x]; 0..1; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min).; Ratio; UCUM (units of measurement), EDQM Standard Terms (units of presentation) (preferred)  ; Amount of medication per time period (e.g. 100mg per 1 hour). When rate is provided per 1 time unit, Quantity data type can be used with a suitable unit (e.g. mg/h, ug/min). ; ; 
EHDSDosage; dosageDetails.repeat; 0..1; Repetition of the administration.; Base;   ; Repetition of the administration. ; SHALL:able-to-populate; 
EHDSDosage; dosageDetails.repeat.bounds[x]; 0..1; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023).; Quantity; UCUM (preferred)  ; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023). ; SHALL:able-to-populate; 
EHDSDosage; dosageDetails.repeat.bounds[x]; 0..1; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023).; Period; UCUM (preferred)  ; Time bounds for the treatment (current dosage scheme), Quantity contains a number of time units (e.g 10 days), Period contains start and end date (e.g. 05.08.2023 - 10.08.2023). ; SHALL:able-to-populate; 
EHDSDosage; dosageDetails.repeat.duration; 0..1; Duration of administration (e.g '5 minutes', '1 hour'); Quantity; UCUM (preferred)  ; Duration of administration (e.g '5 minutes', '1 hour') ; ; 
EHDSDosage; dosageDetails.repeat.frequency; 0..1; Frequency of intake/administration (e.g 'three times a day'); Base;   ; Frequency of intake/administration (e.g 'three times a day') ; SHALL:able-to-populate; 
EHDSDosage; dosageDetails.repeat.frequency.numberOfTimes; 1..1; Number of times per period (e.g '3 times'); integer;   ; Number of times per period (e.g '3 times') ; SHALL:able-to-populate; 
EHDSDosage; dosageDetails.repeat.frequency.period; 1..1; Duration to which the frequency applies (e.g '... / 1 day'); Quantity; UCUM (preferred)  ; Duration to which the frequency applies (e.g '... / 1 day') ; SHALL:able-to-populate; 
EHDSDosage; dosageDetails.repeat.dayOfWeek; 0..*; The day of the week of administration, e.g Mon, Tue, etc; CodeableConcept;   ; The day of the week of administration, e.g Mon, Tue, etc ; ; 
EHDSDosage; dosageDetails.repeat.timeOfDay; 0..*; Exact time of day of administration (e.g '10:00'); time;   ; Exact time of day of administration (e.g '10:00') ; ; 
EHDSDosage; dosageDetails.repeat.eventTime; 0..*; Time period or event when the administration should happen ('before meal', 'immediately', 'morning'); CodeableConcept;   ; Time period or event when the administration should happen ('before meal', 'immediately', 'morning') ; ; 
EHDSDosage; dosageDetails.asNeeded; 0..1; Take as needed; boolean;   ; Take as needed ; ; 
EHDSDosage; dosageDetails.bodySite; 0..1; Body site of administration; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure;   ; Body site of administration ; ; 
EHDSDosage; dosageDetails.routeOfAdministration; 0..1; Route of administration; CodeableConcept; EDQM Standard Terms (preferred)  ; Route of administration ; SHOULD:able-to-populate; 
EHDSEncounter; ; 0..*; The model provides a structured way to capture information about a patient’s interaction with a healthcare service. It enables recording details related to individual encounters and supports linking closely related encounters when needed. Tracking broader or longer episodes of care that extend beyond individual encounters is outside the scope of this model.; ;   ; Encounter model ; ; 
EHDSEncounter; header; 1..1; Basic metadata for this information; Base;   ; Basic metadata for this information ; ; 
EHDSEncounter; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; ; 
EHDSEncounter; header.identifier; 0..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries). ; ; 
EHDSEncounter; header.author[x]; 0..*; Author (typically a health professional) who is responsible for this encounter; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Author (typically a health professional) who is responsible for this encounter ; ; 
EHDSEncounter; header.author[x]; 0..*; Author (typically a health professional) who is responsible for this encounter; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Author (typically a health professional) who is responsible for this encounter ; ; 
EHDSEncounter; header.author[x]; 0..*; Author (typically a health professional) who is responsible for this encounter; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Author (typically a health professional) who is responsible for this encounter ; ; 
EHDSEncounter; header.date; 0..1; Date and optionally time of authoring/issuing; dateTime;   ; Date and optionally time of authoring/issuing ; ; 
EHDSEncounter; header.status; 1..1; Status of the encounter (e.g. discharged, discontinued, completed); CodeableConcept;   ; Status of the encounter (e.g. discharged, discontinued, completed) ; ; 
EHDSEncounter; header.source; 0..1; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; ; 
EHDSEncounter; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; ; 
EHDSEncounter; priority; 0..1; Indicates the urgency of the encounter (e.g. urgent, routine).; CodeableConcept;   ; Indicates the urgency of the encounter (e.g. urgent, routine). ; ; 
EHDSEncounter; type; 1..1; Type of the encounter (inpatient, ambulatory, teleconsultation).; CodeableConcept;   ; Type of the encounter (inpatient, ambulatory, teleconsultation). ; ; 
EHDSEncounter; period; 1..1; The actual start and end time of the encounter.; Period;   ; The actual start and end time of the encounter. ; ; 
EHDSEncounter; serviceProvider; 0..1; The organisation (facility) responsible for this encounter; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The organisation (facility) responsible for this encounter ; ; 
EHDSEncounter; referringProfessional; 0..1; Referring healthcare professional; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Referring healthcare professional ; ; 
EHDSEncounter; basedOn[x]; 0..*; Reference to the request that initiated this encounter; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCarePlan;   ; Reference to the request that initiated this encounter ; ; 
EHDSEncounter; basedOn[x]; 0..*; Reference to the request that initiated this encounter; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSServiceRequest;   ; Reference to the request that initiated this encounter ; ; 
EHDSEncounter; reason[x]; 0..*; Reason(s) for admission, e.g. problem, procedure or finding.; CodeableConcept;   ; Reason(s) for admission, e.g. problem, procedure or finding. ; ; 
EHDSEncounter; reason[x]; 0..*; Reason(s) for admission, e.g. problem, procedure or finding.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; Reason(s) for admission, e.g. problem, procedure or finding. ; ; 
EHDSEncounter; reason[x]; 0..*; Reason(s) for admission, e.g. problem, procedure or finding.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSProcedure;   ; Reason(s) for admission, e.g. problem, procedure or finding. ; ; 
EHDSEncounter; reason[x]; 0..*; Reason(s) for admission, e.g. problem, procedure or finding.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSObservation;   ; Reason(s) for admission, e.g. problem, procedure or finding. ; ; 
EHDSEncounter; reason[x]; 0..*; Reason(s) for admission, e.g. problem, procedure or finding.; string;   ; Reason(s) for admission, e.g. problem, procedure or finding. ; ; 
EHDSEncounter; admission; 0..1; Details about the admission to a healthcare service; Base;   ; Details about the admission to a healthcare service ; ; 
EHDSEncounter; admission.admitter; 0..1; Admitting healthcare professional; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Admitting healthcare professional ; ; 
EHDSEncounter; admission.admitSource; 0..1; From where the patient was admitted (e.g. physician referral, transfer).; CodeableConcept; HL7 Admit Source (preferred)  ; From where the patient was admitted (e.g. physician referral, transfer). ; ; 
EHDSEncounter; dischargeDiagnosis[x]; 0..*; The diagnoses at the time of discharge.; CodeableConcept;   ; The diagnoses at the time of discharge. ; ; 
EHDSEncounter; dischargeDiagnosis[x]; 0..*; The diagnoses at the time of discharge.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSCondition;   ; The diagnoses at the time of discharge. ; ; 
EHDSEncounter; dischargeDestination; 0..1; Location or organisation to which the patient is going after discharge.; Base;   ; Location or organisation to which the patient is going after discharge. ; ; 
EHDSEncounter; dischargeDestination.type; 0..1; Type of location (e.g. home, hospital, nursing home, etc.); CodeableConcept;   ; Type of location (e.g. home, hospital, nursing home, etc.) ; ; 
EHDSEncounter; dischargeDestination.location[x]; 0..1; The location or organisation (including contact details); http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The location or organisation (including contact details) ; ; 
EHDSEncounter; dischargeDestination.location[x]; 0..1; The location or organisation (including contact details); http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation;   ; The location or organisation (including contact details) ; ; 
EHDSEncounter; serviceLocation; 0..*; List of locations where the patient was present during this encounter.; Base;   ; List of locations where the patient was present during this encounter. ; ; 
EHDSEncounter; serviceLocation.period; 0..1; Time period during which the patient was present at the location; Period;   ; Time period during which the patient was present at the location ; ; 
EHDSEncounter; serviceLocation.organisationPart[x]; 1..1; Organisation or part of an organisation (e.g. department) where the patient was present during the encounter.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Organisation or part of an organisation (e.g. department) where the patient was present during the encounter. ; ; 
EHDSEncounter; serviceLocation.organisationPart[x]; 1..1; Organisation or part of an organisation (e.g. department) where the patient was present during the encounter.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSLocation;   ; Organisation or part of an organisation (e.g. department) where the patient was present during the encounter. ; ; 
EHDSEncounter; subEncounter; 0..*; Reference to encounters that are considered parts of this encounter.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSEncounter;   ; Reference to encounters that are considered parts of this encounter. ; ; 
EHDSEncounter; note; 0..1; Free text notes by the health professional; string;   ; Free text notes by the health professional ; ; 
EHDSEndpoint; ; 0..*; Model covers technical details of an endpoint that can be used for electronic services; ;   ; Endpoint model ; ; 
EHDSEndpoint; identifier; 1..*; Identifier for the endpoint; Identifier;   ; Identifier for the endpoint ; ; 
EHDSEndpoint; status; 1..1; Status of the endpoint (e.g. active, limited).; CodeableConcept; HL7 Endpoint Status (preferred)  ; Status of the endpoint (e.g. active, limited). ; ; 
EHDSEndpoint; connectionType; 1..*; A coded value that represents the technical details of the usage of this endpoint, such as what WSDLs should be used in what way.; CodeableConcept;   ; A coded value that represents the technical details of the usage of this endpoint, such as what WSDLs should be used in what way. ; ; 
EHDSEndpoint; name; 0..1; A friendly name that this endpoint can be referred to with.; string;   ; A friendly name that this endpoint can be referred to with. ; ; 
EHDSEndpoint; managingOrganisation; 0..1; The organisation that provides technical management services for this endpoint.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The organisation that provides technical management services for this endpoint. ; ; 
EHDSEndpoint; payload; 0..*; The set of payloads that are provided/available at this endpoint.; Base;   ; The set of payloads that are provided/available at this endpoint. ; ; 
EHDSEndpoint; payload.type; 0..*; The type of content that may be used at this endpoint.; CodeableConcept;   ; The type of content that may be used at this endpoint. ; ; 
EHDSEndpoint; payload.mimeType; 0..*; The mime type to send the payload in (e.g. application/fhir+xml, application/fhir+json).; CodeableConcept; BCP-13 (preferred)  ; The mime type to send the payload in (e.g. application/fhir+xml, application/fhir+json). ; ; 
EHDSEndpoint; payload.profileCanonical; 0..*; The FHIR profile that is expected at this endpoint. It describes the resources that are handled, or even simply which resource types.; uri;   ; The FHIR profile that is expected at this endpoint. It describes the resources that are handled, or even simply which resource types. ; ; 
EHDSEndpoint; payload.profileUri; 0..*; The profile (as a URI) that is expected at this endpoint when not represented using a FHIR profile.; uri;   ; The profile (as a URI) that is expected at this endpoint when not represented using a FHIR profile. ; ; 
EHDSEndpoint; address; 1..1; The URI that describes the actual end-point to connect to.; uri;   ; The URI that describes the actual end-point to connect to. ; ; 
EHDSEndpoint; header; 0..*; Additional headers / information to send as part of the notification. Usage depends on the channel type.; string;   ; Additional headers / information to send as part of the notification. Usage depends on the channel type. ; ; 
EHDSHealthProfessional; ; 0..*; Model for information about a health professional.; ;   ; Health professional model ; ; 
EHDSHealthProfessional; identifier; 0..*; An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided.; Identifier;   ; An identifier of the health professional that is unique within a defined scope. Example: National health professional ID. Multiple identifiers could be provided. ; SHALL:able-to-populate; SHALL:process
EHDSHealthProfessional; name; 0..1; Name of the health professional that has been treating or taking responsibility for the patient.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHumanName;   ; Name of the health professional that has been treating or taking responsibility for the patient. ; SHALL:able-to-populate; SHALL:display
EHDSHealthProfessional; address; 0..*; Mailing and office or home addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code, if this attribute is not present it is assumed to be the default address useful for any purpose.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAddress;   ; Mailing and office or home addresses. The addresses are always sequences of address parts (e.g. street address line, country, postcode, city) even if postal address formats may vary depending on the country. An address may or may not include a specific use code, if this attribute is not present it is assumed to be the default address useful for any purpose. ; ; 
EHDSHealthProfessional; telecom; 0..*; Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSTelecom;   ; Telecommunication contact information (addresses) associated with a person, such as phone number, email, or messaging service. Multiple telecommunication addresses might be provided. ; ; SHALL:display
EHDSHealthProfessional; professionalRole; 0..*; Professional role that the health professional is practicing at a given organisation. This is a generalisation of the FHIR PractitionerRole resource, which is used to represent the role of a practitioner in a specific context, such as a specific organisation or location.; Base;   ; Professional role that the health professional is practicing at a given organisation. This is a generalisation of the FHIR PractitionerRole resource, which is used to represent the role of a practitioner in a specific context, such as a specific organisation or location. ; SHOULD:able-to-populate; SHOULD:display
EHDSHealthProfessional; professionalRole.role; 0..*; Health professional role. Multiple roles could be provided.; CodeableConcept; ISCO, SNOMED CT (preferred)  ; Health professional role. Multiple roles could be provided. ; SHOULD:able-to-populate; 
EHDSHealthProfessional; professionalRole.organisation; 0..1; The organisation where this role is available; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The organisation where this role is available ; SHALL:able-to-populate; SHALL:display
EHDSHealthProfessional; professionalRole.specialty; 0..*; The specialty of a practitioner that describes the functional role they are practicing at a given organisation; CodeableConcept; SNOMED CT (preferred)  ; The specialty of a practitioner that describes the functional role they are practicing at a given organisation ; SHOULD:able-to-populate; 
EHDSHumanName; ; 0..*; Model for human name; ;   ; Human name model ; ; 
EHDSHumanName; use; 0..1; Identifies the purpose of this name.; CodeableConcept; HL7 Name Use (preferred)  ; Identifies the purpose of this name. ; ; 
EHDSHumanName; text; 0..1; Specifies the entire name as it should be displayed e.g. on an application UI.; string;   ; Specifies the entire name as it should be displayed e.g. on an application UI. ; ; 
EHDSHumanName; family; 0..*; The family name/surname/last name of a person.; string;   ; The family name/surname/last name of a person. ; ; 
EHDSHumanName; given; 0..*; The given name/first name.; string;   ; The given name/first name. ; ; 
EHDSHumanName; prefix; 0..*; Name parts that come before the name. Prefixes appear in the correct order for presenting the name.; string;   ; Name parts that come before the name. Prefixes appear in the correct order for presenting the name. ; ; 
EHDSHumanName; suffix; 0..*; Name parts that come after the name. Suffixes appear in the correct order for presenting the name.; string;   ; Name parts that come after the name. Suffixes appear in the correct order for presenting the name. ; ; 
EHDSImagingReport; ; 0..*; Imaging report reflects the observations and interpretations of one or more imaging studies, contains elements such as the reason why the study is requested, relevant contextual medical information, the modality used to acquire images and its settings, procedures and body localisations that were used, a description of the observations and findings, exposure information, conclusion and advice.; ;   ; Imaging report model ; ; 
EHDSImagingReport; header; 1..1; Basic metadata for this information; Base;   ; Imaging report header ; SHALL:able-to-populate; SHALL:process
EHDSImagingReport; header.subject; 1..1; Patient/subject information; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Patient/subject information ; SHALL:able-to-populate; SHALL:process
EHDSImagingReport; header.identifier; 1..*; Business identifier for the object, unique within its system. Supporting disambiguation between different contexts (systems/countries).; Identifier;   ; Unique identifier of the document ; SHALL:able-to-populate; SHALL:process
EHDSImagingReport; header.author[x]; 1..*; The author of the report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The author of the report. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; header.author[x]; 1..*; The author of the report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The author of the report. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; header.author[x]; 1..*; The author of the report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; The author of the report. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; header.date; 1..1; Date and optionally time of authoring/issuing; dateTime;   ; Date of finalising/issuing the document ; SHALL:able-to-populate; SHALL:process
EHDSImagingReport; header.status; 1..1; Status of the report; CodeableConcept;   ; Status of the report ; SHALL:able-to-populate; SHALL:process
EHDSImagingReport; header.source; 0..0; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information.; CodeableConcept;   ; Source of information (e.g. patient, patient's proxy). Used in case the patient has authored the information or the author has submitted patient-stated information. ; ; 
EHDSImagingReport; header.language; 0..1; Language in which the resource is written. Language is expressed by the IETF language tag.; CodeableConcept; BCP 47 (preferred)  ; Language in which the resource is written. Language is expressed by the IETF language tag. ; SHALL:able-to-populate; 
EHDSImagingReport; header.documentType; 1..1; Type of document (e.g. 18748-4 Diagnostic imaging study); CodeableConcept; LOINC (preferred)  ; Type of document (e.g. 18748-4 Diagnostic imaging study) ; SHALL:able-to-populate; 
EHDSImagingReport; header.documentTitle; 1..1; Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024'; string;   ; Human readable document title that can be displayed in search results, etc. This can be documentType's display name, or it can be assembled from multiple elements. Examples: 'Laboratory Result Report', 'Patient Summary of Jane Green 10.12.2024' ; SHALL:able-to-populate; 
EHDSImagingReport; header.period; 0..1; Time of service that is being documented; Period;   ; Time of service that is being documented ; SHOULD:able-to-populate; 
EHDSImagingReport; header.version; 0..1; Business version of the document. The exact algorithm for versioning is decided by the producer/custodian; string;   ; Business version of the document. The exact algorithm for versioning is decided by the producer/custodian ; ; 
EHDSImagingReport; header.attestation; 0..*; Document attestation details; Base;   ; Document attestation details ; SHALL:able-to-populate; 
EHDSImagingReport; header.attestation.attester[x]; 1..1; Attester who validated the document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Attester who validated the document ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; header.attestation.attester[x]; 1..1; Attester who validated the document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Attester who validated the document ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; header.attestation.datetime; 1..1; Date and time of the approval of the document by Attester; dateTime;   ; Date and time of the approval of the document by Attester ; SHALL:able-to-populate; 
EHDSImagingReport; header.legalAuthentication; 0..*; Document legal authentication details; Base;   ; Document legal authentication details ; SHALL:able-to-populate; 
EHDSImagingReport; header.legalAuthentication.legalAuthenticator[x]; 1..1; The person or organisation taking responsibility for the content of the document.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The person or organisation taking responsibility for the content of the document. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; header.legalAuthentication.legalAuthenticator[x]; 1..1; The person or organisation taking responsibility for the content of the document.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The person or organisation taking responsibility for the content of the document. ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; header.legalAuthentication.datetime; 1..1; Date and time when the document was authorised; dateTime;   ; Date and time when the document was authorised ; SHALL:able-to-populate; 
EHDSImagingReport; header.eventType; 0..*; Categorisation of the event covered by the document (e.g. imaging study types, body regions, modality, etc.). Selection of such tags or labels depends on the use case and agreement between data sharing parties. This meta-data element serves primarily for searching and filtering purposes.; CodeableConcept; LOINC, SNOMED CT, dicom-cid-33-Modality (preferred)  ; Categorisation of the event covered by the document (e.g. imaging study types, body regions, modality, etc.). Selection of such tags or labels depends on the use case and agreement between data sharing parties. This meta-data element serves primarily for searching and filtering purposes. ; SHOULD:able-to-populate; SHOULD:process
EHDSImagingReport; header.serviceSpecialty; 0..*; Additional details about where the content was created (e.g. clinical specialty); CodeableConcept; SNOMED CT (preferred)  ; Additional details about where the content was created (e.g. clinical specialty) ; ; SHOULD:process
EHDSImagingReport; header.custodian; 0..1; Organisation that is in charge of maintaining the document/report.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Organisation that is in charge of maintaining the document/report. ; SHOULD:able-to-populate; SHOULD:process
EHDSImagingReport; header.accessionNumber; 0..*; Accession number - an identifier, managed by the RIS at the local level, which usually uniquely identifies an imaging procedure request, and links it to imaging study(ies) and related imaging report(s).; Identifier;   ; Accession number - an identifier, managed by the RIS at the local level, which usually uniquely identifies an imaging procedure request, and links it to imaging study(ies) and related imaging report(s). ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; header.intendedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable ; SHOULD:able-to-populate; 
EHDSImagingReport; header.intendedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable ; SHOULD:able-to-populate; 
EHDSImagingReport; header.intendedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable ; SHOULD:able-to-populate; 
EHDSImagingReport; header.intendedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable ; SHOULD:able-to-populate; 
EHDSImagingReport; header.intendedRecipient[x]; 0..*; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSDevice;   ; Information recipient (intended recipient or recipients of the report, additional recipients might be identified by the ordering party, e.g. GP, other specialist), if applicable ; SHOULD:able-to-populate; 
EHDSImagingReport; presentedForm; 0..*; A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSAttachment;   ; A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document ; SHOULD:able-to-populate; SHOULD:process
EHDSImagingReport; body; 0..1; Imaging report structured body; Base;   ; Imaging report structured body ; SHALL:able-to-populate; SHOULD:process
EHDSImagingReport; body.orderInformation; 0..*; Order Information (Imaging Result Report could respond to multiple orders).; Base;   ; Order Information (Imaging Result Report could respond to multiple orders). ; SHOULD:able-to-populate; SHOULD:process
EHDSImagingReport; body.orderInformation.orderId; 1..*; Identifier(s) of the imaging service order.; Identifier;   ; Identifier(s) of the imaging service order. ; SHALL:able-to-populate; SHALL:process
EHDSImagingReport; body.orderInformation.orderDateAndTime; 0..1; Date and time of the order placement.; dateTime;   ; Date and time of the order placement. ; ; 
EHDSImagingReport; body.orderInformation.orderPlacer[x]; 0..1; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself. ; ; 
EHDSImagingReport; body.orderInformation.orderPlacer[x]; 0..1; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSOrganisation;   ; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself. ; ; 
EHDSImagingReport; body.orderInformation.orderPlacer[x]; 0..1; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; The person/organisation "authorised" to place the order. Order placer could be either a health professional, health professional organisation or the patient himself. ; ; 
