Resource; Field; Cardinality; Definition; Type; Binding; Short; Producer Obligation; Consumer Obligation
EHDSLaboratoryObservation; performer[x]; 0..*; Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSHealthProfessional;   ; Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions. ; SHOULD:able-to-populate; 
EHDSLaboratoryObservation; performer[x]; 0..*; Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSPatient;   ; Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions. ; SHOULD:able-to-populate; 
EHDSLaboratoryObservation; performer[x]; 0..*; Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSRelatedPerson;   ; Performer of the observation. Some test could be performed by the patient himself or by a care giver. Those are in the scope of this deliverable under specified conditions. ; SHOULD:able-to-populate; 
EHDSLaboratoryObservation; bodySite; 0..1; Anatomic location and laterality where the observation was performed.; http://www.xt-ehr.eu/fhir/models/StructureDefinition/EHDSBodyStructure;   ; Anatomic location and laterality where the observation was performed. ; ; 
EHDSLaboratoryObservation; result; 1..1; Result of the observation including text, numeric, coded, and other types of results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation.; Base;   ; Result of the laboratory observation including text, numeric and coded results of the measurement and measurement uncertainty. Content of the observation result will vary according to the type of the observation. ; SHALL:able-to-populate; SHALL:display
EHDSLaboratoryObservation; result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; string; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; Quantity; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; Range; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; Ratio; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; result.value[x]; 0..1; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided.; CodeableConcept; UCUM for units, SNOMED CT for coded results (preferred)  ; Observation result value according to the type of observation. Model covers only most frequently used data types but other data types can be used as well.
    Text result value should be used only if coded result value is not expected otherwise use valueCodeableConcept.text. For Quantity, Range and Ratio, result units of the measurement should be provided. ; SHALL:able-to-populate, SHOULD:able-to-populate; SHALL:display
EHDSLaboratoryObservation; result.uncertainty; 0..1; Measurement uncertainty information about the observation result.; Base;   ; Measurement uncertainty type and interval if needed. ; SHOULD:able-to-populate; SHOULD:display
EHDSLaboratoryObservation; result.uncertainty.value; 1..1; The numerical value of the measurement uncertainty.; decimal;   ; The numerical value of the measurement uncertainty. ; ; 
EHDSLaboratoryObservation; result.uncertainty.type; 0..1; Probability Distribution Type for uncertainty; Coding; HL7 ProbabilityDistributionType (preferred)  ; Probability Distribution Type for uncertainty ; ; 
